DIRECTION,MODBUS FUNCTION,ADDRESS,BYTE,BIT,NAME,TYPE,DESCRIPTION,UNIT / NOTE
OUTPUT (PC -> Welder),FC16 Holding Reg,reg 0,0,-,WeldingStart,uint8,Kaynak baslatma sinyali,0=Stop / 1=Start
OUTPUT (PC -> Welder),FC16 Holding Reg,reg 0,1,-,RobotReady,uint8,Robot hazir sinyali,0=Not Ready / 1=Ready
OUTPUT (PC -> Welder),FC16 Holding Reg,reg 1,2,-,JobNumber,uint8,Is numarasi (sabit),Fixed = 5
OUTPUT (PC -> Welder),FC16 Holding Reg,reg 1,3,-,MachineMode,uint8,Makine modu (sabit),Fixed = 2T
OUTPUT (PC -> Welder),FC16 Holding Reg,reg 2,4,-,TriggerState,uint8,Tetik durumu (sabit),Fixed = 0
OUTPUT (PC -> Welder),FC16 Holding Reg,reg 2,5,-,WorkingMode,uint8,Calisma modu,0=Standard / 1=Freq Pulse / 2=Sec Pulse
OUTPUT (PC -> Welder),FC16 Holding Reg,reg 3,6 ~ 7,-,Freq,uint16,Pulse frekansi,Hz - 16-bit LE
OUTPUT (PC -> Welder),FC16 Holding Reg,reg 4,8 ~ 9,-,DutyCycle,uint16,Pulse duty cycle,% - 16-bit LE
OUTPUT (PC -> Welder),FC16 Holding Reg,reg 5,10 ~ 11,-,PregasTime,uint16,On gaz suresi,raw / 10 = s  max 200
OUTPUT (PC -> Welder),FC16 Holding Reg,reg 6,12 ~ 13,-,HotstartPercent,uint16,Hotstart akim yuzdesi,1~200 -> %1~%200
OUTPUT (PC -> Welder),FC16 Holding Reg,reg 7,14 ~ 15,-,HotstartTime,uint16,Hotstart suresi,raw / 10 = s  max 200
OUTPUT (PC -> Welder),FC16 Holding Reg,reg 8,16 ~ 17,-,StartSlope,uint16,Baslangic slope suresi,raw / 10 = s  max 200
OUTPUT (PC -> Welder),FC16 Holding Reg,reg 9,18 ~ 19,-,MainCurrent,uint16,Ana kaynak akimi,PS Current Level x10
OUTPUT (PC -> Welder),FC16 Holding Reg,reg 10,20 ~ 21,-,MainCurrentTime,uint16,Ana akim suresi (Sec Pulse),raw / 10 = s  max 200
OUTPUT (PC -> Welder),FC16 Holding Reg,reg 11,22 ~ 23,-,BaseCurrentPercent,uint16,Baz akim yuzdesi (Pulse),1~95 -> %1~%95
OUTPUT (PC -> Welder),FC16 Holding Reg,reg 12,24 ~ 25,-,BaseCurrentTime,uint16,Baz akim suresi (Sec Pulse),raw / 10 = s  max 200
OUTPUT (PC -> Welder),FC16 Holding Reg,reg 13,26 ~ 27,-,EndSlope,uint16,Bitis slope suresi,raw / 10 = s  max 20
OUTPUT (PC -> Welder),FC16 Holding Reg,reg 14,28 ~ 29,-,EndCurrentPercent,uint16,Bitis akimi yuzdesi,1~200 -> %1~%200
OUTPUT (PC -> Welder),FC16 Holding Reg,reg 15,30 ~ 31,-,EndCurrentTime,uint16,Bitis akim suresi,raw / 10 = s  max 20
OUTPUT (PC -> Welder),FC16 Holding Reg,reg 16,32 ~ 33,-,PostGasTime,uint16,Son gaz (post-gas) suresi,raw / 10 = s  max 20
OUTPUT (PC -> Welder),FC16 Holding Reg,reg 17,34 ~ 35,-,Ignition,uint16,Atesleme tipi,0=HF (High Freq) / 1=LF (Low Freq)
INPUT (Welder -> PC),FC4 Input Reg,reg 0,0,5,ArcStable / TouchSignal,bit,Ark kararli / dokunma sinyali,1=Active
INPUT (Welder -> PC),FC4 Input Reg,reg 0,0,3,ProcessActive,bit,Kaynak islemi aktif,1=Active
INPUT (Welder -> PC),FC4 Input Reg,reg 1,2,3,LimitSignal,bit,Limit sinyali,1=Active
INPUT (Welder -> PC),FC4 Input Reg,reg 2,4,7,SystemNotReady,bit,Sistem hazir degil / Ariza,1=Fault
INPUT (Welder -> PC),FC4 Input Reg,reg 4,8 ~ 9,-,WeldingVoltage,uint16,Anlik kaynak gerilimi,raw / 10 = V - 16-bit LE
INPUT (Welder -> PC),FC4 Input Reg,reg 5,10 ~ 11,-,WeldingCurrent,uint16,Anlik kaynak akimi,raw / 10 = A - 16-bit LE
